epoch	loss	acc	val_loss	val_acc
0	3.219544	0.015040	1.611812	0.000940
1	1.611812	0.001168	1.611812	0.000720
2	1.611812	0.000926	1.611812	0.000660
3	1.611812	0.000858	1.611812	0.000530
4	1.611812	0.000768	1.611812	0.000530
5	1.611812	0.000768	1.611812	0.000530
6	1.611812	0.000768	1.611812	0.000530
7	1.611812	0.000768	1.611812	0.000530
8	1.611812	0.000768	1.611812	0.000530
9	1.611812	0.000768	1.611812	0.000530
10	1.611812	0.000768	1.611812	0.000530
11	1.611812	0.000768	1.611812	0.000530
12	1.611812	0.000768	1.611812	0.000530
13	1.611812	0.000768	1.611812	0.000530
14	1.611812	0.000768	1.611812	0.000530
15	1.611812	0.000768	1.611812	0.000530
16	1.611812	0.000768	1.611812	0.000530
17	1.611812	0.000768	1.611812	0.000530
18	1.611812	0.000768	1.611812	0.000530
19	1.611812	0.000768	1.611812	0.000530
20	1.611812	0.000768	1.611812	0.000530
21	1.611812	0.000768	1.611812	0.000530
22	1.611812	0.000768	1.611812	0.000530
23	1.611812	0.000768	1.611812	0.000530
24	1.611812	0.000768	1.611812	0.000530
25	1.611812	0.000768	1.611812	0.000530
26	1.611812	0.000768	1.611812	0.000530
27	1.611812	0.000768	1.611812	0.000530
28	1.611812	0.000768	1.611812	0.000530
29	1.611812	0.000768	1.611812	0.000530
30	1.611812	0.000768	1.611812	0.000530
31	1.611812	0.000768	1.611812	0.000530
32	1.611812	0.000768	1.611812	0.000530
33	1.611812	0.000768	1.611812	0.000530
34	1.611812	0.000768	1.611812	0.000530
35	1.611812	0.000768	1.611812	0.000530
36	1.611812	0.000768	1.611812	0.000530
37	1.611812	0.000768	1.611812	0.000530
38	1.611812	0.000768	1.611812	0.000530
39	1.611812	0.000768	1.611812	0.000530
40	1.611812	0.000768	1.611812	0.000530
41	1.611812	0.000768	1.611812	0.000530
42	1.611812	0.000768	1.611812	0.000530
43	1.611812	0.000768	1.611812	0.000530
44	1.611812	0.000768	1.611812	0.000530
45	1.611812	0.000768	1.611812	0.000530
46	1.611812	0.000768	1.611812	0.000530
47	1.611812	0.000768	1.611812	0.000530
48	1.611812	0.000768	1.611812	0.000530
49	1.611812	0.000768	1.611812	0.000530
50	1.611812	0.000768	1.611812	0.000530
51	1.611812	0.000768	1.611812	0.000530
52	1.611812	0.000768	1.611812	0.000530
53	1.611812	0.000768	1.611812	0.000530
54	1.611812	0.000768	1.611812	0.000530
55	1.611812	0.000768	1.611812	0.000530
56	1.611812	0.000768	1.611812	0.000530
57	1.611812	0.000768	1.611812	0.000530
58	1.611812	0.000768	1.611812	0.000530
59	1.611812	0.000768	1.611812	0.000530
60	1.611812	0.000768	1.611812	0.000530
61	1.611812	0.000768	1.611812	0.000530
62	1.611812	0.000768	1.611812	0.000530
63	1.611812	0.000768	1.611812	0.000530
64	1.611812	0.000768	1.611812	0.000530
65	1.611812	0.000768	1.611812	0.000530
66	1.611812	0.000768	1.611812	0.000530
67	1.611812	0.000768	1.611812	0.000530
68	1.611812	0.000768	1.611812	0.000530
69	1.611812	0.000768	1.611812	0.000530
70	1.611812	0.000768	1.611812	0.000530
71	1.611812	0.000768	1.611812	0.000530
72	1.611812	0.000768	1.611812	0.000530
73	1.611812	0.000768	1.611812	0.000530
74	1.611812	0.000768	1.611812	0.000530
75	1.611812	0.000768	1.611812	0.000530
76	1.611812	0.000768	1.611812	0.000530
77	1.611812	0.000768	1.611812	0.000530
78	1.611812	0.000768	1.611812	0.000530
79	1.611812	0.000768	1.611812	0.000530
80	1.611812	0.000768	1.611812	0.000530
81	1.611812	0.000768	1.611812	0.000530
82	1.611812	0.000768	1.611812	0.000530
83	1.611812	0.000768	1.611812	0.000530
84	1.611812	0.000768	1.611812	0.000530
85	1.611812	0.000768	1.611812	0.000530
86	1.611812	0.000768	1.611812	0.000530
87	1.611812	0.000768	1.611812	0.000530
88	1.611812	0.000768	1.611812	0.000530
89	1.611812	0.000768	1.611812	0.000530
90	1.611812	0.000768	1.611812	0.000530
91	1.611812	0.000768	1.611812	0.000530
92	1.611812	0.000768	1.611812	0.000530
93	1.611812	0.000768	1.611812	0.000530
94	1.611812	0.000768	1.611812	0.000530
95	1.611812	0.000768	1.611812	0.000530
96	1.611812	0.000768	1.611812	0.000530
97	1.611812	0.000768	1.611812	0.000530
98	1.611812	0.000768	1.611812	0.000530
99	1.611812	0.000768	1.611812	0.000530
